Epoch1 Loss: 613100.0, New Best Found!!
Epoch2 Loss: 591800.0, New Best Found!!
Epoch3 Loss: 613100.3349442165
Epoch4 Loss: 591800.0, New Best Found!!
Epoch5 Loss: 390670.1665965227, New Best Found!!
Epoch6 Loss: 591800.0
Epoch7 Loss: 143877.83294601087, New Best Found!!
Epoch8 Loss: 67457.69175327131, New Best Found!!
Epoch9 Loss: 10371.143915691391, New Best Found!!
Epoch10 Loss: 3147.992052960408, New Best Found!!
Epoch11 Loss: 1936.8948085027894, New Best Found!!
Epoch12 Loss: 1409.9428464517068, New Best Found!!
Epoch13 Loss: 1274.454272629369, New Best Found!!
Epoch14 Loss: 1237.713609176901, New Best Found!!
Epoch15 Loss: 1205.258604140798, New Best Found!!
Epoch16 Loss: 1085.3793031660393, New Best Found!!
Epoch17 Loss: 967.6618567223253, New Best Found!!
Epoch18 Loss: 760.8581237455987, New Best Found!!
Epoch19 Loss: 737.3946089037729, New Best Found!!
Epoch20 Loss: 715.5235200649863, New Best Found!!
Epoch21 Loss: 695.0848536569413, New Best Found!!
Epoch22 Loss: 675.9673727513452, New Best Found!!
Epoch23 Loss: 658.073679941651, New Best Found!!
Epoch24 Loss: 641.3218672723968, New Best Found!!
Epoch25 Loss: 534.8019330959906, New Best Found!!
Epoch26 Loss: 520.0258584124214, New Best Found!!
Epoch27 Loss: 506.1690490497551, New Best Found!!
Epoch28 Loss: 493.16883514704784, New Best Found!!
Epoch29 Loss: 480.9771580659069, New Best Found!!
Epoch30 Loss: 469.55222465325807, New Best Found!!
Epoch31 Loss: 458.848846525434, New Best Found!!
Epoch32 Loss: 448.8141553233221, New Best Found!!
Epoch33 Loss: 439.3892414544365, New Best Found!!
Epoch34 Loss: 430.51414442998987, New Best Found!!
Epoch35 Loss: 422.1326868667494, New Best Found!!
Epoch36 Loss: 414.195228586606, New Best Found!!
Epoch37 Loss: 406.6593864681572, New Best Found!!
Epoch38 Loss: 399.48953707344947, New Best Found!!
Epoch39 Loss: 392.65582055095683, New Best Found!!
Epoch40 Loss: 386.13305242244394, New Best Found!!
Epoch41 Loss: 379.89971156054156, New Best Found!!
Epoch42 Loss: 373.9370521804961, New Best Found!!
Epoch43 Loss: 368.2283511399249, New Best Found!!
Epoch44 Loss: 271.96858090239147, New Best Found!!
Epoch45 Loss: 266.72174614486727, New Best Found!!
Epoch46 Loss: 261.6856764591037, New Best Found!!
Epoch47 Loss: 256.8473115914902, New Best Found!!
Epoch48 Loss: 252.19414612125993, New Best Found!!
Epoch49 Loss: 247.7142818541645, New Best Found!!
Epoch50 Loss: 243.3965028529637, New Best Found!!
Epoch51 Loss: 239.23034221401568, New Best Found!!
Epoch52 Loss: 235.20612401937564, New Best Found!!
Epoch53 Loss: 231.31497549305124, New Best Found!!
Epoch54 Loss: 227.54881158213195, New Best Found!!
Epoch55 Loss: 223.90029743220597, New Best Found!!
Epoch56 Loss: 220.3627948744107, New Best Found!!
Epoch57 Loss: 216.93029841964386, New Best Found!!
Epoch58 Loss: 213.5973653045129, New Best Found!!
Epoch59 Loss: 210.3590433461651, New Best Found!!
Epoch60 Loss: 207.21079987430593, New Best Found!!
Epoch61 Loss: 204.14845471978524, New Best Found!!
Epoch62 Loss: 201.16811995024716, New Best Found!!
Epoch63 Loss: 198.2661485687304, New Best Found!!
Epoch64 Loss: 195.43909364817392, New Best Found!!
Epoch65 Loss: 192.68367841403946, New Best Found!!
Epoch66 Loss: 189.99677676767752, New Best Found!!
Epoch67 Loss: 187.37540286018216, New Best Found!!
Epoch68 Loss: 184.8167077341626, New Best Found!!
Epoch69 Loss: 182.3179808117764, New Best Found!!
Epoch70 Loss: 179.87665408826297, New Best Found!!
Epoch71 Loss: 177.49030719330364, New Best Found!!
Epoch72 Loss: 175.15667189213013, New Best Found!!
Epoch73 Loss: 172.87363501768013, New Best Found!!
Epoch74 Loss: 170.63923919512337, New Best Found!!
Epoch75 Loss: 168.45168101947223, New Best Found!!
Epoch76 Loss: 166.30930658002706, New Best Found!!
Epoch77 Loss: 164.2106044085304, New Best Found!!
Epoch78 Loss: 162.15419607686667, New Best Found!!
Epoch79 Loss: 160.13882479415003, New Best Found!!
Epoch80 Loss: 158.1633424533549, New Best Found!!
Epoch81 Loss: 156.2266956493712, New Best Found!!
Epoch82 Loss: 154.3279112286192, New Best Found!!
Epoch83 Loss: 152.46608193186864, New Best Found!!
Epoch84 Loss: 150.64035265852002, New Best Found!!
Epoch85 Loss: 148.84990781823447, New Best Found!!
Epoch86 Loss: 147.09396015178305, New Best Found!!
Epoch87 Loss: 145.37174130493727, New Best Found!!
Epoch88 Loss: 143.68249433312354, New Best Found!!
Epoch89 Loss: 142.02546820528678, New Best Found!!
Epoch90 Loss: 140.39991426850085, New Best Found!!
Epoch91 Loss: 138.8050845360738, New Best Found!!
Epoch92 Loss: 137.24023157841188, New Best Found!!
Epoch93 Loss: 135.70460973410843, New Best Found!!
Epoch94 Loss: 134.19747732283972, New Best Found!!
Epoch95 Loss: 132.71809953243795, New Best Found!!
Epoch96 Loss: 131.2657516670606, New Best Found!!
Epoch97 Loss: 129.83972247590475, New Best Found!!
Epoch98 Loss: 128.4393173255063, New Best Found!!
Epoch99 Loss: 127.06386102670291, New Best Found!!
Epoch100 Loss: 125.71270017515388, New Best Found!!
Epoch101 Loss: 124.385204909026, New Best Found!!
Epoch102 Loss: 123.0807700285195, New Best Found!!
Epoch103 Loss: 121.79881545957129, New Best Found!!
Epoch104 Loss: 120.53878607937233, New Best Found!!
